empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
BARTOLO ESPINOSA MARTINEZ,BARTOLO ESPINOSA MARTINEZ,CALLE 4 # 12--04,2433163,Buenaventura,CABOTAJE PRIVADO
BERNUTH  AGENCIES INC,MONOCANDILLOS JORDAN,AVENIDA NEWALL DIAGONAL A TEXACO,51223124,San Andrés,INTERNACIONAL PUBLICO
BLINK LOGISTICS S A,JUAN CARLOS URIBE MORENO,AVENIDA ELDORADO 84 A 55 LOCAL 139 DORADO PLAZA,410 72 62,Bogotá,INTERNACIONAL PUBLICO
BLU LOGISTICS COLOMBIA S.A.S. (EX BLUE CARGO S.A.),ALVARO ALEMAN LOPEZ,CALLE 10 # 60-65,4173700,Bogotá,INTERNACIONAL PUBLICO
BLUE SAILING SAS,TILSON ISMAEL TRUCCO CASTRO,CALLE SAN ANDRES 30-47 GETSEMANI,(0956)686485,Buenaventura,INTERNACIONAL PUBLICO
BLUE SAILING SAS,TILSON ISMAEL TRUCCO CASTRO,CALLE SAN ANDRES 30-47 GETSEMANI,(0956)686485,Buenaventura,CABOTAJE PUBLICO
BONILLA MORAN ADAN,ADAN BONILLA MORAN,CLL 4N 12-04 BRR CENTENARIO,31337335503,Buenaventura,CABOTAJE PUBLICO
BORJA JACKSON EDILMO,JACKSON EDILMO BORJA,CLL 1 CR 1 MUELLE TURISTICO LOCAL 7B,312514927,Buenaventura,CABOTAJE PUBLICO
BRASVEN MARITIMA S A,ALVARO LEQUERICA  OTERO,CENTRO LA MATUNA EDIFICIO CITY BANK OFICINA 13F G,664 18 47,Cartagena,INTERNACIONAL PUBLICO
BRAVO PETROLEUM LOGISITCS COLOMBIA,ALDO ADONICEDETH LOPEZ PERDOMO,CALLE 77B #57-141,3605378,Barranquilla,CABOTAJE PUBLICO
BREDYS LUZ LUNA MURILLO,BREDYS LUZ MARINA MURILO,BARRIO OBRERO DIAGONAL SALON COMUNAL,512 04 05,San andrés,INTERNACIONAL PUBLICO
